epoch,train_loss,val_loss,gen_loss
1,13.61467414855957,0.362747460603714,13.61467414855957
2,9.037126369476319,0.2009289190173149,9.037126369476319
3,7.914342803955078,0.181671891361475,7.914342803955078
4,7.443966382344564,0.18311834707856178,7.443966382344564
5,7.0689499473571775,0.16498513147234917,7.0689499473571775
6,6.8124227587382,0.1543925404548645,6.8124227587382
7,6.697293815612793,0.14721861109137535,6.697293815612793
8,6.483461399078369,0.1434931755065918,6.483461399078369
9,6.4196415011088055,0.14135882258415222,6.4196415011088055
10,6.379698327382406,0.13626546785235405,6.379698327382406
11,6.270095621744792,0.3865128979086876,6.270095621744792
12,6.307825679779053,0.13543468713760376,6.307825679779053
13,6.203321310679118,0.12838470377027988,6.203321310679118
14,6.140320205688477,0.12666969746351242,6.140320205688477
15,6.158648287455241,0.12424106523394585,6.158648287455241
16,6.116378142038982,0.12393816001713276,6.116378142038982
17,6.0259454091389975,0.12056674994528294,6.0259454091389975
18,6.056344223022461,0.11911609396338463,6.056344223022461
19,6.012535088857015,0.11772864311933517,6.012535088857015
20,6.038764082590739,0.11607616953551769,6.038764082590739
21,6.109093481699626,0.1200009137392044,6.109093481699626
22,6.039049549102783,0.11333342082798481,6.039049549102783
23,5.983913968404134,0.11243399791419506,5.983913968404134
24,5.901320234934489,0.11198987625539303,5.901320234934489
25,5.918478609720866,0.10958234407007694,5.918478609720866
26,5.895058383941651,0.1083695087581873,5.895058383941651
27,5.9031273460388185,0.1075231209397316,5.9031273460388185
28,5.844840501149496,0.10474606603384018,5.844840501149496
29,5.869007059733073,0.10327854752540588,5.869007059733073
30,5.840421047210693,0.10187446512281895,5.840421047210693
31,5.832698866526286,0.10134909860789776,5.832698866526286
32,5.780152072906494,0.10033275187015533,5.780152072906494
33,5.7855760320027665,0.10064221173524857,5.7855760320027665
34,5.796158364613851,0.09874194301664829,5.796158364613851
35,5.749214789072672,0.09738737903535366,5.749214789072672
36,5.755970363616943,0.09657474048435688,5.755970363616943
37,5.76761817296346,0.0962319616228342,5.76761817296346
38,5.767219657897949,0.09602910839021206,5.767219657897949
39,5.750974063873291,0.09518657997250557,5.750974063873291
40,5.774844837188721,0.09324002452194691,5.774844837188721
41,5.749545885721843,0.09304946847259998,5.749545885721843
42,5.722692743937174,0.09227000176906586,5.722692743937174
43,5.749005146026612,0.09175717644393444,5.749005146026612
44,5.759158865610758,0.09293745085597038,5.759158865610758
45,5.753450133005778,0.09086163714528084,5.753450133005778
46,5.729721012115479,0.09029818512499332,5.729721012115479
47,5.713547554016113,0.09107441641390324,5.713547554016113
48,5.730469862620036,0.09001590684056282,5.730469862620036
49,5.711238784790039,0.08933161199092865,5.711238784790039
50,5.732970212300619,0.08947329595685005,5.732970212300619
